Slope,Curvature,Cachment,Rain,Bedrock,Erosion
2.6075619E-02,2.1276596E-03,4.2491984E+01,1.4605600E+04,1.0000000E+00,7.9200000E+01
1.9036954E-02,5.0000000E-03,4.6763294E+01,1.5791600E+04,1.0000000E+00,8.1600000E+01
1.5738499E-02,1.1235955E-03,4.7374272E+01,1.5977400E+04,1.0000000E+00,6.4800000E+01
1.1764706E-02,8.0645161E-04,4.7985067E+01,1.5977400E+04,1.0000000E+00,4.4800000E+01
1.1789925E-02,1.0526316E-03,6.7969707E+01,2.0606200E+04,1.0000000E+00,6.0000000E+01
9.7560976E-03,1.6393443E-03,1.3021914E+02,3.6769000E+04,1.0000000E+00,7.5600000E+01
1.1538462E-02,1.6393443E-03,2.0283527E+02,5.1586600E+04,1.0000000E+00,4.3700000E+01
9.0206186E-03,1.8181818E-03,2.0940910E+02,5.2485600E+04,1.0000000E+00,7.5500000E+01
4.7505938E-03,1.0526316E-03,2.0991550E+02,5.2485600E+04,1.0000000E+00,8.1000000E+01
5.5555556E-02,7.6923077E-03,1.0964999E+01,5.6266000E+03,3.0000000E+00,1.3400000E+02
2.2880215E-02,1.5384615E-03,3.1603298E+01,1.3084600E+04,1.0000000E+00,6.5900000E+01
2.1897810E-02,1.3888889E-03,3.2709897E+01,1.3324800E+04,1.0000000E+00,8.9400000E+01
3.5019455E-02,1.6666667E-03,3.2875216E+01,1.3324800E+04,1.0000000E+00,5.5200000E+01
2.2857143E-02,5.0000000E-04,3.3018410E+01,1.3324800E+04,1.0000000E+00,5.7000000E+01
1.7928287E-02,1.2820513E-03,4.0939297E+01,1.6616600E+04,1.0000000E+00,6.6600000E+01
3.4671533E-02,2.8571429E-03,4.5077897E+01,1.7784400E+04,1.0000000E+00,8.9100000E+01
1.2690355E-02,1.5151515E-03,4.5465386E+01,1.7784400E+04,1.0000000E+00,8.3500000E+01
2.8340081E-02,1.2987013E-03,4.6279039E+01,1.7987400E+04,1.0000000E+00,7.1900000E+01
8.2677165E-02,7.1428571E-03,6.4812893E+00,3.3682000E+03,1.0000000E+00,7.6000000E+01
7.6923077E-02,8.3333333E-03,6.0352159E+00,2.1254000E+03,2.0000000E+00,6.4300000E+01
6.0763889E-02,1.1764706E-03,8.5406568E+00,2.9964000E+03,1.0000000E+00,4.3300000E+01
5.3977273E-02,9.0909091E-03,1.6297050E+01,5.3132000E+03,1.0000000E+00,5.4000000E+01
3.1294452E-02,3.4482759E-03,1.6629387E+01,5.3132000E+03,1.0000000E+00,5.3200000E+01
2.1992238E-02,1.3888889E-03,3.3928753E+01,1.0140400E+04,1.0000000E+00,4.3200000E+01
1.8306636E-02,2.0000000E-03,3.5292337E+01,1.0140400E+04,1.0000000E+00,7.0000000E+01
1.1603376E-02,1.1904762E-03,5.9226877E+01,1.5681200E+04,1.0000000E+00,3.1500000E+01
3.2397408E-02,5.8823529E-03,1.9010560E+01,7.5182000E+03,3.0000000E+00,8.6300000E+01
4.8158640E-02,3.4482759E-03,3.3317880E+01,1.1492000E+04,3.0000000E+00,1.9700000E+01
3.8647343E-02,2.5000000E-03,3.8480448E+01,1.3038800E+04,2.0000000E+00,3.2800000E+01
3.7549407E-02,2.0833333E-03,4.4265993E+01,1.4223800E+04,2.0000000E+00,3.4200000E+01
3.1512605E-02,2.9411765E-03,4.9049094E+01,1.4803000E+04,2.0000000E+00,1.9000000E+01
5.0813008E-02,5.0000000E-04,5.0121793E+01,1.5144600E+04,2.0000000E+00,2.9500000E+01
3.6734694E-02,4.1666667E-03,5.2331014E+01,1.5301400E+04,2.0000000E+00,4.8200000E+01
2.8099174E-02,1.2987013E-03,5.6088282E+01,1.6101400E+04,2.0000000E+00,3.6000000E+01
1.8032787E-02,6.4516129E-04,1.3184454E+02,3.9740600E+04,2.0000000E+00,4.1600000E+01
1.8348624E-02,3.5714286E-03,1.3616351E+02,4.0249800E+04,2.0000000E+00,6.3900000E+01
2.4193548E-02,5.5555556E-03,1.5692391E+02,4.4562800E+04,2.0000000E+00,9.0500000E+01
1.1254019E-02,1.3513514E-03,1.5846709E+02,4.4666200E+04,2.0000000E+00,6.7600000E+01
1.2745098E-02,1.5625000E-03,2.6363440E+02,7.4635200E+04,1.0000000E+00,6.8400000E+01
1.4238773E-02,5.0000000E-04,2.6759084E+02,7.4894400E+04,1.0000000E+00,8.3900000E+01
1.0752688E-02,1.3888889E-03,4.2618615E+02,9.9633800E+04,1.0000000E+00,4.0600000E+01
8.6206897E-03,1.1904762E-03,4.4048141E+02,1.0001320E+05,1.0000000E+00,3.1900000E+01
4.0983607E-03,5.0000000E-04,4.4731399E+02,1.0015900E+05,1.0000000E+00,3.2800000E+01
